merchant_id,name,Ratings,response rate,joined,products,response time,follower
983b8576-0dd8-4c84-acdf-0915734adbd0,sprise_localstore.sg,809,96%,7 months ago,12,within hours,630
6e3b6c48-c873-44ac-b99a-845f35a30cf7,IN-BOX,24.2k,97%,8 years ago,366,within hours,11.5k
90f139bf-4bb4-4f5c-8511-f99ede1d71b2, Edifier Flagship Store,367,97%,7 months ago,24,within hours,2.5k
39d81d01-8cf5-4ddb-919d-7fd293d92de2,sprise_localstore.sg,809,96%,7 months ago,12,within hours,630
355137ee-5cdc-46f9-a573-c4e6a6cbe5f5,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
7b1295a7-da41-4856-9f62-48121ce1c6a3,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
9bb43343-23f7-4899-aa82-be5adb5b2e7b,VOCOAL.Pro.sg,6.2k,99%,13 months ago,123,within minutes,2.9k
4a2c9a24-edce-4c14-8cb4-f2de78d9526f,Spark HD ,26.6k,98%,3 years ago,374,within hours,8.6k
299b0148-e796-45bd-b0b2-955e0cbd09a3,okwis3c.sg,1.6k,100%,6 months ago,20,within minutes,1k
0b718f8c-5b9f-4090-a61c-a1a9a1712001,Daniel's Recommendation,12.8k,80%,8 years ago,352,within hours,2.3k
8b7a365b-7374-4bad-ba3e-7e6d4f33ac98,VOCOAL.Pro.sg,6.2k,99%,13 months ago,123,within minutes,2.9k
c381d772-340b-4604-8c59-9a7d7e3ea7ef,Sehold official store ,255,75%,6 years ago,12,within hours,132
ad8c03fc-e5a1-43cf-a848-fd425d5cdfaf,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
f37b54ca-c44f-4734-b583-2c72b00be509,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
a1fae61e-f258-4d22-8d36-f9c85fe40979,Baseus Official Store,216.2k,100%,5 years ago,516,within hours,122.4k
cbf551ca-7f92-4cbc-ba18-608221fd37ea,Spark HD ,26.6k,98%,3 years ago,374,within hours,8.6k
174c12a9-00d4-451b-aee8-a90173579417,Smart Shopping,46.4k,68%,6 years ago,1.1k,within hours,5.4k
15d2f539-b21b-4056-b5ea-d4a9545b6b0a,Belkin Official Store,3.9k,54%,5 years ago,124,within hours,14.3k
aa323631-838f-499d-af6e-2736e8ff8760,Lifely.sg,28.1k,98%,4 years ago,39,within hours,5.5k
1c066884-5997-4b64-960a-ce89c5196fcf,Online Singapore,13.7k,98%,4 years ago,75,within minutes,11.7k
85e50dd6-56a0-441b-9b72-97a6317c83a4,BELLYWORTH,4.8k,99%,6 years ago,45,within hours,1.2k
3cdfe5d6-2da0-447b-9ddf-2eb74348ca46,skystar0405.sg,2k,45%,14 months ago,141,within hours,830
0509271f-ee1f-4f62-8b5d-069dcc150178,vitog official store,20.9k,100%,4 years ago,118,within hours,6.4k
90dea391-dc91-46cb-bbbd-d8633cc89659,chengaii.sg,11.3k,99%,4 years ago,86,within minutes,3.1k
ad2b536a-021c-41c3-9cad-9f74560fc512,hiyoromich.sg,24,100%,13 months ago,144,within hours,33
e63756e6-6c7e-4c64-8f94-8c9943aa1eab,RedDotVillage,3.6k,89%,7 years ago,518,within hours,249
9ccb4a27-e1e3-49ca-b58d-5292618016ac,3c3cmall.sg,2.4k,4%,35 months ago,411,within hours,172
24176e13-bf33-4569-96b9-bf915f4f8114,Spark HD ,26.6k,98%,3 years ago,374,within hours,8.6k
2352f4c9-b2f5-424b-a15f-037c25f10f08,Online Singapore,13.7k,98%,4 years ago,75,within minutes,11.7k
0ef30050-7747-48fd-a743-a0cbffc81a98,Lenovo Thinkplus,4.7k,96%,16 months ago,113,within hours,654
159432a2-84ef-4307-b4bb-75cf24011289,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
c4c65a17-89df-46a3-9715-b3ee6179c51b,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
8195a50c-bef9-499e-8e03-16fac85eec13,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
56c741d0-b7ea-485e-a616-94431f7b5a45,Spark HD ,26.6k,98%,3 years ago,374,within hours,8.6k
29635bea-8e1b-4e96-bd2b-b06a38a86363,heimi26.sg,13.3k,89%,4 years ago,138,within hours,3.1k
54e4d556-e98e-4fb3-bbb5-a6d2656ffdc3,Neineik Store,27.4k,99%,4 years ago,600,within hours,6.4k
ae12cd6a-15f6-49b5-8f25-439b9049c2ba,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
11dc2d08-8cb4-4029-b313-6cda58d79163,hongzan.sg,1.6k,88%,25 months ago,103,within hours,373
