merchant_id,name,Ratings,response rate,joined,products,response time,follower
2df222ca-0c19-437b-99a7-a549c813c22e,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
c80a1140-b54b-4ff1-92ec-f97ef409e6c0,Spark HD ,26.6k,98%,3 years ago,374,within hours,8.6k
5645f285-ca3f-4330-9051-e622ee28620e,FlyDigital House,7.3k,93%,6 years ago,51,within hours,4k
23c6188d-d66c-4dc4-a2a4-2808802bb338,Thunderobot Global Store,278,65%,12 months ago,53,within hours,685
ff07d590-f1c5-4188-987d-78a606ad5a3a,Redragon Official Store,913,58%,36 months ago,102,within hours,1.3k
b918c027-84a8-479f-b069-b390df8650f9,Alcatroz.OS,558,61%,33 months ago,40,within hours,754
82982cd7-a35c-4025-9272-3fb72b9a61ca,Rabbit Man Electronics SG,152,73%,2 months ago,13,within hours,67
5a36b3bb-0757-4fdb-bb52-400c7ea7ef50,Koala Home Lifestyle ,28k,95%,16 months ago,116,within hours,23.4k
0bd57d02-f333-4426-937a-96e11cf9616d,Leapfrog E-Store,24.6k,55%,7 years ago,203,within hours,8.3k
5b9f547c-e50a-4906-a367-82368f09e3ab,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
8b34ebff-5104-4145-964f-006cf5b5fb22,Smart Shopping,46.4k,68%,6 years ago,1.1k,within hours,5.4k
11fa2383-d992-4869-bc2d-9fa2cb70694c,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
d9a115bc-3dd3-4f16-a746-ec40ee4ed89d,okwis3c.sg,1.6k,100%,6 months ago,20,within minutes,1k
f7265950-8281-409f-af74-57ee3f0369fa,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
c190c567-fcfa-4082-92ef-b8dc5bdbee41,giftswonderland,6.8k,96%,35 months ago,98,within hours,7.5k
3c00dd31-fc0a-4234-b095-bbfd12338d30,Amee.SG,15.7k,92%,3 years ago,41,within hours,1.2k
